Article Reference,Article Title,Book Reference,Article Link,Book Link,Plant Genus,Plant Species,Plant Cultivar,Plant Tissue,Organic or Inorganic ,Phyto Process ,Contaminant Type,Contaminant,Contaminant Abbreviation,Removal Rate,Removal Rate Units,Timeline,Notes,Plant Category,Soil Ph,Soil type,Moisture,Shade,Height,Growth Rate,US Hardiness Zone,Plant Image,Contaminant Image,Geography,Seasonal Interest Spring,Seasonal Interest Summer,Seasonal Interest Fall,Seasonal Interest Winter
Marchiol 2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,,https://doi.org/10.1016/j.envpol.2004.04.001,,Brassica,napus,Kabel,shoots,inorganic,phytoextraction and phytometabilization,heavy metal,cadmium,Cd,,mg/kg,,"values are from the 'treated' soils (i.e., contaminated soils)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils",LMH,M,SN,1.2,,6 - 9,,,,yellow flowers,yellow flowers,,
Marchiol 2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,,https://doi.org/10.1016/j.envpol.2004.04.001,,Brassica,napus,Kabel,roots,inorganic,phytoextraction and phytometabilization,heavy metal,cadmium,Cd,23.5,mg/kg,,"values are from the 'treated' soils (i.e., contaminated soils)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils",LMH,M,SN,1.2,,6 - 9,,,,yellow flowers,yellow flowers,,
Marchiol 2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,,https://doi.org/10.1016/j.envpol.2004.04.001,,Brassica,napus,Kabel,shoots,inorganic,phytostabilization,heavy metal,chromium,Cr,0.77,mg/kg,,"values are from the 'treated' soils (i.e., contaminated soils)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils",LMH,M,SN,1.2,,6 - 9,,,,yellow flowers,yellow flowers,,
Marchiol 2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,,https://doi.org/10.1016/j.envpol.2004.04.001,,Brassica,napus,Kabel,roots,inorganic,phytostabilization,heavy metal,chromium,Cr,82.5,mg/kg,,"values are from the 'treated' soils (i.e., contaminated soils)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils",LMH,M,SN,1.2,,6 - 9,,,,yellow flowers,yellow flowers,,
Marchiol 2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,,https://doi.org/10.1016/j.envpol.2004.04.001,,Brassica,napus,Kabel,shoots,inorganic,phytometabolism,heavy metal,copper,Cu,23.6,mg/kg,,"values are from the 'treated' soils (i.e., contaminated soils)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils",LMH,M,SN,1.2,,6 - 9,,,,yellow flowers,yellow flowers,,
Marchiol 2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,,https://doi.org/10.1016/j.envpol.2004.04.001,,Brassica,napus,Kabel,roots,inorganic,phytostabilization and phytometabolism,heavy metal,copper,Cu,414,mg/kg,,"values are from the 'treated' soils (i.e., contaminated soils)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils",LMH,M,SN,1.2,,6 - 9,,,,yellow flowers,yellow flowers,,
Marchiol 2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,,https://doi.org/10.1016/j.envpol.2004.04.001,,Brassica,napus,Kabel,shoots,inorganic,"phytostabilization, phytometabolism and phytoextraction",heavy metal,nickel,Ni,4.12,mg/kg,,"values are from the 'treated' soils (i.e., contaminated soils)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils",LMH,M,SN,1.2,,6 - 9,,,,yellow flowers,yellow flowers,,
Marchiol 2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,,https://doi.org/10.1016/j.envpol.2004.04.001,,Brassica,napus,Kabel,roots,inorganic,"phytostabilization, phytometabolism and phytoextraction",heavy metal,nickel,Ni,45.7,mg/kg,,"values are from the 'treated' soils (i.e., contaminated soils)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils",LMH,M,SN,1.2,,6 - 9,,,,yellow flowers,yellow flowers,,
Marchiol 2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,,https://doi.org/10.1016/j.envpol.2004.04.001,,Brassica,napus,Kabel,shoots,inorganic,phytostabilization,heavy metal,lead,Pb,5.48,mg/kg,,"values are from the 'treated' soils (i.e., contaminated soils)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils",LMH,M,SN,1.2,,6 - 9,,,,yellow flowers,yellow flowers,,
Marchiol 2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,,https://doi.org/10.1016/j.envpol.2004.04.001,,Brassica,napus,Kabel,roots,inorganic,phytostabilization,heavy metal,lead,Pb,472,mg/kg,,"values are from the 'treated' soils (i.e., contaminated soils)",herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils",LMH,M,SN,1.2,,6 - 9,,,,yellow flowers,yellow flowers,,
