reference,first_author,publication_year,title,reference_link,plant_species,common_name,plant_family,plant_cultivar,plant_tissue,organic_inorganic,phyto_process,contaminant_type,contaminant,contaminant_symbol,removal_rate,plant_name,vegetation_type,soil_ph,soil,moisture,shade,height,growth_rate,hardiness_zone,plant_image,contaminant_image,material_image
Marchiol 2004,Marchiol,2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,https://doi.org/10.1016/j.envpol.2004.04.001,Brassica napus,Raps,Brassicaceae,Kabel,shoots,Inorganic,phytoextraction and phytometabilization,Heavy metal,cadmium,Cd,12.6,Brassica napus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils.",LMH,M,SN,1.2,,6 - 9,,,
Marchiol 2004,Marchiol,2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,https://doi.org/10.1016/j.envpol.2004.04.001,Brassica napus,Raps,Brassicaceae,Kabel,roots,Inorganic,phytoextraction and phytometabilization,Heavy metal,cadmium,Cd,23.5,Brassica napus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils.",LMH,M,SN,1.2,,6 - 9,,,
Marchiol 2004,Marchiol,2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,https://doi.org/10.1016/j.envpol.2004.04.001,Brassica napus,Raps,Brassicaceae,Kabel,shoots,Inorganic,phytostabilization,Heavy metal,chromium,Cr,0.77,Brassica napus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils.",LMH,M,SN,1.2,,6 - 9,,,
Marchiol 2004,Marchiol,2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,https://doi.org/10.1016/j.envpol.2004.04.001,Brassica napus,Raps,Brassicaceae,Kabel,roots,Inorganic,phytostabilization,Heavy metal,chromium,Cr,82.5,Brassica napus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils.",LMH,M,SN,1.2,,6 - 9,,,
Marchiol 2004,Marchiol,2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,https://doi.org/10.1016/j.envpol.2004.04.001,Brassica napus,Raps,Brassicaceae,Kabel,shoots,Inorganic,phytometabolism,Heavy metal,copper,Cu,23.6,Brassica napus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils.",LMH,M,SN,1.2,,6 - 9,,,
Marchiol 2004,Marchiol,2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,https://doi.org/10.1016/j.envpol.2004.04.001,Brassica napus,Raps,Brassicaceae,Kabel,roots,Inorganic,phytostabilization and phytometabolism,Heavy metal,copper,Cu,414,Brassica napus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils.",LMH,M,SN,1.2,,6 - 9,,,
Marchiol 2004,Marchiol,2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,https://doi.org/10.1016/j.envpol.2004.04.001,Brassica napus,Raps,Brassicaceae,Kabel,shoots,Inorganic,"phytostabilization, phytometabolism and phytoextraction",Heavy metal,nickel,Ni,4.12,Brassica napus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils.",LMH,M,SN,1.2,,6 - 9,,,
Marchiol 2004,Marchiol,2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,https://doi.org/10.1016/j.envpol.2004.04.001,Brassica napus,Raps,Brassicaceae,Kabel,roots,Inorganic,"phytostabilization, phytometabolism and phytoextraction",Heavy metal,nickel,Ni,45.7,Brassica napus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils.",LMH,M,SN,1.2,,6 - 9,,,
Marchiol 2004,Marchiol,2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,https://doi.org/10.1016/j.envpol.2004.04.001,Brassica napus,Raps,Brassicaceae,Kabel,shoots,Inorganic,phytostabilization,Heavy metal,lead,Pb,5.48,Brassica napus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils.",LMH,M,SN,1.2,,6 - 9,,,
Marchiol 2004,Marchiol,2004,Phytoextraction of heavy metals by canola (Brassica napus) and radish (Raphanus sativus) grown on multicontaminated soil,https://doi.org/10.1016/j.envpol.2004.04.001,Brassica napus,Raps,Brassicaceae,Kabel,roots,Inorganic,phytostabilization,Heavy metal,lead,Pb,472,Brassica napus L.,herbaceous,"mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline soils.",LMH,M,SN,1.2,,6 - 9,,,
